Class,Chapter,Problems,Incorrect,Percent
Counting & Probability,Distinguishability,38,11,71.1
Counting & Probability,Basic Probability as Counting,22,2,90.9
Counting & Probability,Basic Probability with Combinations,29,8,72.4
Counting & Probability,Probability with Casework,54,20,63
Counting & Probability,Complementary Probability,19,3,84.2
Counting & Probability,Binomial Probability,20,6,70
Counting & Probability,Multiplying Probabilities,16,1,93.8
Counting & Probability,Advanced Probability with Combinations,31,8,71
Counting & Probability,Probability - Think About It!,16,1,93.8
Counting & Probability,Using Geometry in Probability,9,0,100
Counting & Probability,Expected Value,19,3,84.2
Counting & Probability,Pascal's Triangle,14,1,92.9
Counting & Probability,Binomial Theorem,20,4,80
Geometry,Angle Measurement Basics,21,2,90.5
Geometry,"Angles, Parallel Lines, and Triangles",18,0,100
Geometry,Isosceles and Equilateral Triangles,17,1,94.1
Geometry,Length and Perimeter,24,1,95.8
Geometry,Area Basics,19,0,100
Geometry,Similar Triangles,19,1,94.7
Geometry,The Pythagorean Theorem,29,1,96.6
Geometry,Special Right Triangles,24,0,100
Geometry,Bisectors in a Triangle,45,7,82.2
Geometry,Triangle Medians and Altitudes,23,1,95.7
Geometry,Quadrilaterals Level 1,29,2,93.1
Geometry,Quadrilaterals Level 2,20,1,95
Geometry,Polygon Angles,20,1,95
Geometry,Polygon Length and Area,12,1,91.7
Geometry,Inequalities in Triangles,11,1,90.9
Geometry,Circle Area and Circumference,20,1,95
Geometry,Funky Circle Areas,16,3,81.3
Geometry,Angles in Circles,15,2,86.7
Geometry,Lengths in Circles,14,1,92.9
Geometry,Prisms,7,0,100
Geometry,Pyramids,10,0,100
Geometry,Cylinders,9,0,100
Geometry,Cones,10,1,90
Geometry,Spheres,7,0,100
Geometry,Transformations,9,1,88.9
Geometry,Analytic Geometry Level 1,7,0,100
Geometry,Analytic Geometry Level 2,6,0,100
Geometry,Right-Triangle Trigonometry,8,1,87.5
Geometry,Unit Circle Trigonometry,8,0,100
